Id,CatalogBrandId,CatalogTypeId,Description,Name,PictureFileName,Price,AvailableStock,MaxStockThreshold,OnReorder,RestockThreshold
100,100,100,INFLATABLE POLITICAL GLOBE,INFLATABLE POLITICAL GLOBE,100.jpg,0.8500000000000006,4,5,0,1
101,100,100,GROOVY CACTUS INFLATABLE,GROOVY CACTUS INFLATABLE,101.jpg,0.41190476190476183,4,5,0,1
102,100,100,DOGGY RUBBER,DOGGY RUBBER,102.jpg,0.21,4,5,0,1
103,100,100,HEARTS WRAPPING TAPE,HEARTS WRAPPING TAPE,103.jpg,0.65,4,5,0,1
104,100,100,SPOTS ON RED BOOKCOVER TAPE,SPOTS ON RED BOOKCOVER TAPE,104.jpg,0.42000000000000004,4,5,0,1
105,100,100,ARMY CAMO BOOKCOVER TAPE,ARMY CAMO BOOKCOVER TAPE,105.jpg,0.42,4,5,0,1
106,100,100,MINI FUNKY DESIGN TAPES,MINI FUNKY DESIGN TAPES,106.jpg,0.7795081967213122,4,5,0,1
107,100,100,COLOURING PENCILS BROWN TUBE,COLOURING PENCILS BROWN TUBE,107.jpg,0.5275000000000013,4,5,0,1
108,100,100,COLOURING PENCILS BROWN TUBE,COLOURING PENCILS BROWN TUBE,108.jpg,1.1954310344827583,4,5,0,1
109,100,100,ASSTD DESIGN RACING CAR PEN,ASSTD DESIGN RACING CAR PEN,109.jpg,1.857096774193548,4,5,0,1
110,100,100,FAN BLACK FRAME,FAN BLACK FRAME,110.jpg,0.29,4,5,0,1
111,100,100,PAPER POCKET TRAVELING FAN,PAPER POCKET TRAVELING FAN,111.jpg,0.13688888888888903,4,5,0,1
112,100,100,ASSORTED COLOURS SILK FAN,ASSORTED COLOURS SILK FAN,112.jpg,0.8051851851851902,4,5,0,1
113,100,100,SANDALWOOD FAN,SANDALWOOD FAN,113.jpg,0.8362857142857152,4,5,0,1
114,100,100,PINK PAPER PARASOL,PINK PAPER PARASOL,114.jpg,3.018571428571425,4,5,0,1
115,100,100,BLUE PAPER PARASOL,BLUE PAPER PARASOL,115.jpg,2.933333333333334,4,5,0,1
116,100,100,PURPLE PAPER PARASOL,PURPLE PAPER PARASOL,116.jpg,2.9432203389830494,4,5,0,1
117,100,100,RED PAPER PARASOL,RED PAPER PARASOL,117.jpg,2.9616666666666642,4,5,0,1
118,100,100,EDWARDIAN PARASOL BLACK,EDWARDIAN PARASOL BLACK,118.jpg,5.893321799307987,4,5,0,1
119,100,100,EDWARDIAN PARASOL NATURAL,EDWARDIAN PARASOL NATURAL,119.jpg,5.865984042553209,4,5,0,1
120,100,100,EDWARDIAN PARASOL PINK,EDWARDIAN PARASOL PINK,120.jpg,5.941119402985086,4,5,0,1
121,100,100,BLUE POLKADOT GARDEN PARASOL,BLUE POLKADOT GARDEN PARASOL,121.jpg,7.808823529411759,4,5,0,1
122,100,100,PINK POLKADOT GARDEN PARASOL,PINK POLKADOT GARDEN PARASOL,122.jpg,7.862195121951214,4,5,0,1
123,100,100,ICE CREAM DESIGN GARDEN PARASOL,ICE CREAM DESIGN GARDEN PARASOL,123.jpg,6.349999999999998,4,5,0,1
124,100,100,FAIRY CAKE DESIGN UMBRELLA,FAIRY CAKE DESIGN UMBRELLA,124.jpg,3.820315789473684,4,5,0,1
125,100,100,SMALL FOLDING SCISSOR(POINTED EDGE),SMALL FOLDING SCISSOR(POINTED EDGE),125.jpg,0.13449275362318838,4,5,0,1
