Address_City;Id;OrderDate
Manchester;1001;2016-12-01 08:26:00.0000000
Manchester;1002;2016-12-01 08:28:00.0000000
Stoke-on-Trent;1003;2016-12-01 08:34:00.0000000
Stoke-on-Trent;1004;2016-12-01 08:34:00.0000000
Stoke-on-Trent;1005;2016-12-01 08:35:00.0000000
Lille;1006;2016-12-01 08:45:00.0000000
Coventry;1007;2016-12-01 09:00:00.0000000
Manchester;1008;2016-12-01 09:01:00.0000000
Manchester;1009;2016-12-01 09:02:00.0000000
Newcastle;1010;2016-12-01 09:09:00.0000000
Manchester;1011;2016-12-01 09:32:00.0000000
Bristol;1012;2016-12-01 09:32:00.0000000
Manchester;1013;2016-12-01 09:34:00.0000000
Southampton;1014;2016-12-01 09:37:00.0000000
Belfast;1015;2016-12-01 09:41:00.0000000
Bournemouth;1016;2016-12-01 09:41:00.0000000
Liverpool;1017;2016-12-01 09:45:00.0000000
Leeds;1018;2016-12-01 09:53:00.0000000
Nottingham;1019;2016-12-01 09:56:00.0000000
Leeds;1020;2016-12-01 09:57:00.0000000
Leeds;1021;2016-12-01 09:58:00.0000000
Glasgow;1022;2016-12-01 09:59:00.0000000
Sunshine Coast;1023;2016-12-01 10:03:00.0000000
Cardiff;1024;2016-12-01 10:19:00.0000000
London;1025;2016-12-01 10:29:00.0000000
Coventry;1026;2016-12-01 10:37:00.0000000
Manchester;1027;2016-12-01 10:39:00.0000000
London;1028;2016-12-01 10:47:00.0000000
Manchester;1029;2016-12-01 10:51:00.0000000
Liverpool;1030;2016-12-01 10:51:00.0000000
Edinburgh;1031;2016-12-01 10:52:00.0000000
Manchester;1032;2016-12-01 10:52:00.0000000
Edinburgh;1033;2016-12-01 10:53:00.0000000
Southampton;1034;2016-12-01 11:21:00.0000000
Middlesbrough;1035;2016-12-01 11:22:00.0000000
Zaanstad;1036;2016-12-01 11:27:00.0000000
Nottingham;1037;2016-12-01 11:29:00.0000000
Middlesbrough;1038;2016-12-01 11:32:00.0000000
Manchester;1039;2016-12-01 11:33:00.0000000
Manchester;1040;2016-12-01 11:34:00.0000000
Southampton;1041;2016-12-01 11:41:00.0000000
Stoke-on-Trent;1042;2016-12-01 11:45:00.0000000
Newcastle;1043;2016-12-01 11:49:00.0000000
Nottingham;1044;2016-12-01 11:57:00.0000000
Birmingham;1045;2016-12-01 11:58:00.0000000
Manchester;1046;2016-12-01 12:03:00.0000000
London;1047;2016-12-01 12:08:00.0000000
Leeds;1048;2016-12-01 12:08:00.0000000
Newcastle;1049;2016-12-01 12:12:00.0000000
Sheffield;1050;2016-12-01 12:15:00.0000000
Southampton;1051;2016-12-01 12:22:00.0000000
Southampton;1052;2016-12-01 12:22:00.0000000
Middlesbrough;1053;2016-12-01 12:23:00.0000000
Southampton;1054;2016-12-01 12:23:00.0000000
Southampton;1055;2016-12-01 12:27:00.0000000
Nottingham;1056;2016-12-01 12:31:00.0000000
Bournemouth;1057;2016-12-01 12:35:00.0000000
Birmingham;1058;2016-12-01 12:36:00.0000000
Bournemouth;1059;2016-12-01 12:38:00.0000000
Middlesbrough;1060;2016-12-01 12:40:00.0000000
Bristol;1061;2016-12-01 12:43:00.0000000
Brighton;1062;2016-12-01 12:48:00.0000000
Leicester;1063;2016-12-01 12:49:00.0000000
Belfast;1064;2016-12-01 12:50:00.0000000
Leeds;1065;2016-12-01 12:51:00.0000000
Manchester;1066;2016-12-01 12:54:00.0000000
Cardiff;1067;2016-12-01 12:58:00.0000000
Dresden;1068;2016-12-01 13:04:00.0000000
Leeds;1069;2016-12-01 13:17:00.0000000
Leeds;1070;2016-12-01 13:20:00.0000000
Liverpool;1071;2016-12-01 13:21:00.0000000
Middlesbrough;1072;2016-12-01 13:23:00.0000000
Arendal;1073;2016-12-01 13:24:00.0000000
Newcastle;1074;2016-12-01 13:31:00.0000000
Leicester;1075;2016-12-01 13:33:00.0000000
Brighton;1076;2016-12-01 13:38:00.0000000
Cardiff;1077;2016-12-01 13:45:00.0000000
Coventry;1078;2016-12-01 13:51:00.0000000
Brighton;1079;2016-12-01 13:54:00.0000000
Cardiff;1080;2016-12-01 14:03:00.0000000
Limerick;1081;2016-12-01 14:05:00.0000000
Limerick;1082;2016-12-01 14:05:00.0000000
Cardiff;1083;2016-12-01 14:11:00.0000000
Belfast;1084;2016-12-01 14:34:00.0000000
Bournemouth;1085;2016-12-01 14:38:00.0000000
Coventry;1086;2016-12-01 14:41:00.0000000
Manchester;1087;2016-12-01 14:54:00.0000000
Edinburgh;1088;2016-12-01 15:00:00.0000000
Coventry;1089;2016-12-01 15:06:00.0000000
Coventry;1090;2016-12-01 15:08:00.0000000
Cardiff;1091;2016-12-01 15:08:00.0000000
Coventry;1092;2016-12-01 15:08:00.0000000
Bristol;1093;2016-12-01 15:21:00.0000000
Edinburgh;1094;2016-12-01 15:27:00.0000000
Edinburgh;1095;2016-12-01 15:28:00.0000000
Stoke-on-Trent;1096;2016-12-01 15:35:00.0000000
London;1097;2016-12-01 15:35:00.0000000
Coventry;1098;2016-12-01 15:37:00.0000000
Liverpool;1099;2016-12-01 15:40:00.0000000
Newcastle;1100;2016-12-01 15:45:00.0000000
Newcastle;1101;2016-12-01 15:46:00.0000000
Birmingham;1102;2016-12-01 16:01:00.0000000
Birmingham;1103;2016-12-01 16:11:00.0000000
Birmingham;1104;2016-12-01 16:13:00.0000000
Belfast;1105;2016-12-01 16:15:00.0000000
Birmingham;1106;2016-12-01 16:16:00.0000000
Belfast;1107;2016-12-01 16:17:00.0000000
Birmingham;1108;2016-12-01 16:19:00.0000000
Birmingham;1109;2016-12-01 16:21:00.0000000
Birmingham;1110;2016-12-01 16:21:00.0000000
Birmingham;1111;2016-12-01 16:22:00.0000000
Middlesbrough;1112;2016-12-01 16:24:00.0000000
Bournemouth;1113;2016-12-01 16:25:00.0000000
Birmingham;1114;2016-12-01 16:33:00.0000000
Cardiff;1115;2016-12-01 16:49:00.0000000
Glasgow;1116;2016-12-01 16:52:00.0000000
Leicester;1117;2016-12-01 16:58:00.0000000
Manchester;1118;2016-12-01 17:15:00.0000000
Middlesbrough;1119;2016-12-01 17:22:00.0000000
Southampton;1120;2016-12-01 17:24:00.0000000
Edinburgh;1121;2016-12-01 17:35:00.0000000
Birmingham;1122;2016-12-02 07:48:00.0000000
Birmingham;1123;2016-12-02 07:49:00.0000000
Manchester;1124;2016-12-02 08:32:00.0000000
Manchester;1125;2016-12-02 08:33:00.0000000
Manchester;1126;2016-12-02 08:34:00.0000000
Manchester;1127;2016-12-02 08:40:00.0000000
Southampton;1128;2016-12-02 08:43:00.0000000
Cardiff;1129;2016-12-02 08:52:00.0000000
Leicester;1130;2016-12-02 09:29:00.0000000
Stoke-on-Trent;1131;2016-12-02 09:37:00.0000000
Manchester;1132;2016-12-02 09:41:00.0000000
Manchester;1133;2016-12-02 09:42:00.0000000
Edinburgh;1134;2016-12-02 09:43:00.0000000
Manchester;1135;2016-12-02 09:44:00.0000000
Nottingham;1136;2016-12-02 09:44:00.0000000
Manchester;1137;2016-12-02 09:44:00.0000000
Stoke-on-Trent;1138;2016-12-02 10:09:00.0000000
Belfast;1139;2016-12-02 10:10:00.0000000
Glasgow;1140;2016-12-02 10:17:00.0000000
Birmingham;1141;2016-12-02 10:17:00.0000000
Birmingham;1142;2016-12-02 10:18:00.0000000
Liverpool;1143;2016-12-02 10:27:00.0000000
Belfast;1144;2016-12-02 10:35:00.0000000
Birmingham;1145;2016-12-02 10:39:00.0000000
Belfast;1146;2016-12-02 10:45:00.0000000
Belfast;1147;2016-12-02 10:46:00.0000000
Nottingham;1148;2016-12-02 10:53:00.0000000
Manchester;1149;2016-12-02 10:54:00.0000000
Manchester;1150;2016-12-02 10:55:00.0000000
Manchester;1151;2016-12-02 10:56:00.0000000
Manchester;1152;2016-12-02 10:58:00.0000000
Sheffield;1153;2016-12-02 11:02:00.0000000
Nottingham;1154;2016-12-02 11:20:00.0000000
Birmingham;1155;2016-12-02 11:21:00.0000000
Cardiff;1156;2016-12-02 11:22:00.0000000
Liverpool;1157;2016-12-02 11:23:00.0000000
Birmingham;1158;2016-12-02 11:35:00.0000000
Belfast;1159;2016-12-02 11:41:00.0000000
Bournemouth;1160;2016-12-02 11:45:00.0000000
Brighton;1161;2016-12-02 11:46:00.0000000
Cardiff;1162;2016-12-02 11:57:00.0000000
Middlesbrough;1163;2016-12-02 12:07:00.0000000
Cardiff;1164;2016-12-02 12:09:00.0000000
Cardiff;1165;2016-12-02 12:09:00.0000000
Stoke-on-Trent;1166;2016-12-02 12:10:00.0000000
Stoke-on-Trent;1167;2016-12-02 12:10:00.0000000
Stoke-on-Trent;1168;2016-12-02 12:11:00.0000000
Brighton;1169;2016-12-02 12:16:00.0000000
Leeds;1170;2016-12-02 12:18:00.0000000
Sheffield;1171;2016-12-02 12:22:00.0000000
Manchester;1172;2016-12-02 12:23:00.0000000
Manchester;1173;2016-12-02 12:24:00.0000000
Manchester;1174;2016-12-02 12:25:00.0000000
Manchester;1175;2016-12-02 12:26:00.0000000
Glasgow;1176;2016-12-02 12:28:00.0000000
Leeds;1177;2016-12-02 12:33:00.0000000
Leeds;1178;2016-12-02 12:47:00.0000000
Leeds;1179;2016-12-02 12:50:00.0000000
Brighton;1180;2016-12-02 12:58:00.0000000
Brighton;1181;2016-12-02 12:59:00.0000000
Nottingham;1182;2016-12-02 13:06:00.0000000
Sheffield;1183;2016-12-02 13:08:00.0000000
Nottingham;1184;2016-12-02 13:08:00.0000000
Edinburgh;1185;2016-12-02 13:11:00.0000000
Birmingham;1186;2016-12-02 13:14:00.0000000
Bournemouth;1187;2016-12-02 13:32:00.0000000
Brighton;1188;2016-12-02 13:36:00.0000000
Belfast;1189;2016-12-02 13:38:00.0000000
Glasgow;1190;2016-12-02 13:39:00.0000000
Brighton;1191;2016-12-02 13:44:00.0000000
Belfast;1192;2016-12-02 13:45:00.0000000
Bristol;1193;2016-12-02 13:49:00.0000000
Manchester;1194;2016-12-02 14:04:00.0000000
Manchester;1195;2016-12-02 14:05:00.0000000
Manchester;1196;2016-12-02 14:06:00.0000000
Manchester;1197;2016-12-02 14:07:00.0000000
Southampton;1198;2016-12-02 14:09:00.0000000
Glasgow;1199;2016-12-02 14:26:00.0000000
Sheffield;1200;2016-12-02 14:30:00.0000000
Brighton;1201;2016-12-02 14:40:00.0000000
Sheffield;1202;2016-12-02 14:42:00.0000000
Bournemouth;1203;2016-12-02 14:47:00.0000000
Bournemouth;1204;2016-12-02 14:49:00.0000000
Leeds;1205;2016-12-02 15:00:00.0000000
Birmingham;1206;2016-12-02 15:03:00.0000000
Birmingham;1207;2016-12-02 15:08:00.0000000
Middlesbrough;1208;2016-12-02 15:14:00.0000000
Sheffield;1209;2016-12-02 15:18:00.0000000
Cardiff;1210;2016-12-02 15:19:00.0000000
Cardiff;1211;2016-12-02 15:20:00.0000000
Cardiff;1212;2016-12-02 15:22:00.0000000
Cardiff;1213;2016-12-02 15:23:00.0000000
Manchester;1214;2016-12-02 15:24:00.0000000
Cardiff;1215;2016-12-02 15:25:00.0000000
Manchester;1216;2016-12-02 15:25:00.0000000
Manchester;1217;2016-12-02 15:26:00.0000000
Manchester;1218;2016-12-02 15:27:00.0000000
Cardiff;1219;2016-12-02 15:28:00.0000000
Leicester;1220;2016-12-02 15:39:00.0000000
